threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,f1,balanced_accuracy
0.2800000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2810000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2820000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2830000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2840000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2850000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2860000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2870000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2880000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2890000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2900000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2910000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2920000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2930000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2940000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2950000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2960000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2970000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2980000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2990000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.3000000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.3010000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.3020000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.3030000000000001,20,3,7,0,0.7666666666666667,0.7407407407407407,1.0,0.3,0.851063829787234,0.65
0.3040000000000001,20,3,7,0,0.7666666666666667,0.7407407407407407,1.0,0.3,0.851063829787234,0.65
0.3050000000000001,20,3,7,0,0.7666666666666667,0.7407407407407407,1.0,0.3,0.851063829787234,0.65
0.3060000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3070000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3080000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3090000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3100000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3110000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3120000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3130000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3140000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3150000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3160000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3170000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3180000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3190000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3200000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3210000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
0.3220000000000001,20,4,6,0,0.8,0.7692307692307693,1.0,0.4,0.8695652173913044,0.7
